,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CSX_All_Freight,12.894024,83.57304,83.331409,105.160995,114.178777,108.47415,109.744154,107.635539,110.31335,108.482932,108.384615,109.035034,105.868874,87.795811,93.102459,98.062017,98.268073,98.590109,101.060254,94.55437,82.501404,78.767155,73.559769,72.031802,61.344064,62.110278,60.683204,58.90656
CSX_All_Freight_Both_Mainline,0,70.248107,69.964163,89.085569,96.443553,91.990677,95.220582,94.846132,98.274717,96.565968,97.139664,93.347588,89.982844,74.689692,79.579973,83.676754,83.958067,84.695344,86.568435,80.343713,69.801667,66.396633,63.162636,62.237847,52.963552,53.886267,52.503825,51.104366
CSX_All_Freight_Only_Mainline,0,70.243915,69.961215,89.082982,96.441603,91.988686,95.219639,94.845314,98.273358,96.563397,97.137414,93.345043,89.979889,74.688228,79.578062,83.673948,83.957765,84.694522,86.567829,80.343683,69.801391,66.396633,63.162636,62.237847,52.963552,53.886267,52.503825,51.104366
CSX_All_Freight_Other_Mainline,0,0.004192,0.002948,0.002587,0.00195,0.001991,0.000943,0.000818,0.001359,0.002571,0.00225,0.002545,0.002955,0.001464,0.001911,0.002806,0.000302,0.000822,0.000606,0.00003,0.000276,0,0,0,0,0,0,0
CSX_All_Freight_Non_Mainline,12.894024,13.324933,13.367246,16.075426,17.735224,16.483473,14.523572,12.789407,12.038633,11.916964,11.244951,15.687446,15.88603,13.106119,13.522486,14.385263,14.310006,13.894765,14.491819,14.210657,12.699737,12.370522,10.397133,9.793955,8.380512,8.224011,8.179379,7.802194
CSX_ClassI_Freight_Both_Mainline,0,70.248107,69.964163,89.085569,96.443553,91.990677,95.220582,94.846132,98.274717,96.565968,97.139664,93.347588,89.982844,74.689692,79.579973,83.676754,83.958067,84.695344,86.568435,80.343713,69.801667,66.396633,63.162636,62.237847,52.963552,53.886267,52.503825,51.104366
CSX_ClassI_Freight_Only_Mainline,0,70.243915,69.961215,89.082982,96.441603,91.988686,95.219639,94.845314,98.273358,96.563397,97.137414,93.345043,89.979889,74.688228,79.578062,83.673948,83.957765,84.694522,86.567829,80.343683,69.801391,66.396633,63.162636,62.237847,52.963552,53.886267,52.503825,51.104366
CSX_ClassI_Freight_Other_Mainline,0,0.004192,0.002948,0.002587,0.00195,0.001991,0.000943,0.000818,0.001359,0.002571,0.00225,0.002545,0.002955,0.001464,0.001911,0.002806,0.000302,0.000822,0.000606,0.00003,0.000276,0,0,0,0,0,0,0
CSX_ClassI_Freight_Non_Mainline,12.894024,13.324933,13.367246,16.075426,17.735224,16.483473,14.523572,12.789407,12.038633,11.916964,11.244951,15.687446,15.88603,13.106119,13.522486,14.385263,14.310006,13.894765,14.491819,14.210657,12.699737,12.370522,10.397133,9.793955,8.380512,8.224011,8.179379,7.802194
CSX_Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSX_All_Train,12.894024,83.798061,83.496677,105.324171,114.348229,108.643602,109.913606,107.635539,110.31335,108.482932,108.384615,109.035034,105.868874,87.795811,93.102459,98.062017,98.268073,98.590109,101.060254,94.55437,82.501404,78.767155,73.559769,72.031802,61.344064,62.110278,60.683204,58.90656
CSX_All_Train_Mainline,0,70.473128,70.129431,89.248745,96.613005,92.160129,95.390034,94.846132,98.274717,96.565968,97.139664,93.347588,89.982844,74.689692,79.579973,83.676754,83.958067,84.695344,86.568435,80.343713,69.801667,66.396633,63.162636,62.237847,52.963552,53.886267,52.503825,51.104366
CSX_All_Train_Non_Mainline,12.894024,13.324933,13.367246,16.075426,17.735224,16.483473,14.523572,12.789407,12.038633,11.916964,11.244951,15.687446,15.88603,13.106119,13.522486,14.385263,14.310006,13.894765,14.491819,14.210657,12.699737,12.370522,10.397133,9.793955,8.380512,8.224011,8.179379,7.802194
CN_All_Freight,2.903462,22.70136,22.953235,22.653972,25.368411,24.743395,23.200469,22.7922,23.417761,22.87472,22.27332,21.143231,20.600159,16.134751,17.325941,18.057247,19.407945,20.330835,21.087726,20.632016,19.035247,19.882888,21.036233,21.297299,18.049569,18.511356,19.758105,18.042267
CN_All_Freight_Both_Mainline,0,19.534427,19.658946,19.34953,19.76732,19.439927,18.293298,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.715721,17.746507,16.221665
